"# multiple myeloma in vivo data: Fig 7C, S7F"
Domain Name,Cage Number,Donor Number,Average radiance,Tumor Measurement Day
CD28,36,1,1820,-2
CD28,37,1,2116.5,-2
CD28,38,1,1468.5,-2
CD28,39,1,1550.5,-2
CD28,40,1,1448,-2
CD28,41,1,1829.5,-2
CD28,42,1,2082.5,-2
CD28,43,1,3052,-2
CD28,44,1,2513.5,-2
CD28,45,1,1294,-2
TRAC KO,46,1,2123,-2
TRAC KO,47,1,2581.5,-2
TRAC KO,48,1,2058,-2
TRAC KO,49,1,2226.5,-2
TRAC KO,50,1,2556.5,-2
TRAC KO,51,1,1632,-2
TRAC KO,52,1,1604.5,-2
TRAC KO,53,1,1794,-2
TRAC KO,54,1,1406.5,-2
TRAC KO,55,1,1583.5,-2
4-1BB,72,1,1855.5,-2
4-1BB,73,1,1954,-2
4-1BB,74,1,2394.5,-2
4-1BB,75,1,1754,-2
4-1BB,76,1,1963,-2
BAFF-R,77,1,2021.5,-2
BAFF-R,78,1,2216,-2
BAFF-R,79,1,1649.5,-2
BAFF-R,80,1,1780.5,-2
CD28,36,1,1463,7
CD28,37,1,3369.5,7
CD28,38,1,920.15,7
CD28,39,1,1265.5,7
CD28,40,1,1050.3,7
CD28,41,1,1099.05,7
CD28,42,1,16945,7
CD28,43,1,37900,7
CD28,44,1,1406,7
CD28,45,1,859.9,7
TRAC KO,46,1,12129.5,7
TRAC KO,47,1,62905,7
TRAC KO,48,1,22400,7
TRAC KO,49,1,5062.5,7
TRAC KO,50,1,80081.5,7
TRAC KO,51,1,1304.7,7
TRAC KO,52,1,3246,7
TRAC KO,53,1,3382.5,7
TRAC KO,54,1,7109.5,7
TRAC KO,55,1,15125,7
4-1BB,72,1,7026.5,7
4-1BB,73,1,1555.5,7
4-1BB,74,1,1433,7
4-1BB,75,1,2293.5,7
4-1BB,76,1,1548,7
BAFF-R,77,1,1229.5,7
BAFF-R,78,1,1328.5,7
BAFF-R,79,1,1904,7
BAFF-R,80,1,1297,7
CD28,36,1,2708.5,10
CD28,37,1,3158,10
CD28,38,1,1201,10
CD28,39,1,1491.5,10
CD28,40,1,1145,10
CD28,41,1,1453.5,10
CD28,42,1,26280,10
CD28,43,1,25831.5,10
CD28,44,1,1850,10
CD28,45,1,1214,10
TRAC KO,46,1,25174,10
TRAC KO,47,1,153000,10
TRAC KO,48,1,30650,10
TRAC KO,49,1,8255,10
TRAC KO,50,1,156800,10
TRAC KO,51,1,2728.5,10
TRAC KO,52,1,3338,10
TRAC KO,53,1,11459.5,10
TRAC KO,54,1,21130,10
TRAC KO,55,1,32223.5,10
4-1BB,72,1,6734,10
4-1BB,73,1,1471,10
4-1BB,74,1,1678,10
4-1BB,75,1,3480.5,10
4-1BB,76,1,1815.5,10
BAFF-R,77,1,1369.5,10
BAFF-R,78,1,1503,10
BAFF-R,79,1,1304.5,10
BAFF-R,80,1,1353,10
CD28,36,1,2510,14
CD28,37,1,2420,14
CD28,38,1,1020,14
CD28,39,1,1130,14
CD28,40,1,1050,14
CD28,41,1,2320,14
CD28,42,1,85600,14
CD28,43,1,105000,14
CD28,44,1,2620,14
CD28,45,1,978.3,14
TRAC KO,46,1,38800,14
TRAC KO,47,1,663000,14
TRAC KO,48,1,51700,14
TRAC KO,49,1,11600,14
TRAC KO,50,1,286000,14
TRAC KO,51,1,8430,14
TRAC KO,52,1,9050,14
TRAC KO,53,1,12800,14
TRAC KO,54,1,29500,14
TRAC KO,55,1,68200,14
4-1BB,72,1,4670,14
4-1BB,73,1,1670,14
4-1BB,74,1,1620,14
4-1BB,75,1,11400,14
4-1BB,76,1,2470,14
BAFF-R,77,1,1270,14
BAFF-R,78,1,1570,14
BAFF-R,79,1,1120,14
BAFF-R,80,1,1250,14
CD28,36,1,70900,19
CD28,37,1,3350,19
CD28,38,1,1160,19
CD28,39,1,1430,19
CD28,40,1,1110,19
CD28,41,1,1630,19
CD28,42,1,4430,19
CD28,43,1,992000,19
CD28,44,1,1420,19
CD28,45,1,1710,19
TRAC KO,46,1,276000,19
TRAC KO,47,1,3780000,19
TRAC KO,48,1,76600,19
TRAC KO,49,1,20600,19
TRAC KO,50,1,392000,19
TRAC KO,51,1,31300,19
TRAC KO,52,1,29100,19
TRAC KO,53,1,22100,19
TRAC KO,54,1,132000,19
TRAC KO,55,1,462000,19
4-1BB,72,1,12900,19
4-1BB,73,1,2330,19
4-1BB,74,1,7140,19
4-1BB,75,1,340000,19
4-1BB,76,1,6720,19
BAFF-R,77,1,1610,19
BAFF-R,78,1,3030,19
BAFF-R,79,1,1630,19
BAFF-R,80,1,2040,19
CD28,36,1,159300,25
CD28,37,1,832,25
CD28,38,1,721,25
CD28,39,1,814,25
CD28,40,1,738,25
CD28,41,1,727,25
CD28,42,1,11275,25
CD28,43,1,8965000,25
CD28,44,1,1218.5,25
CD28,45,1,905.5,25
TRAC KO,46,1,240100,25
TRAC KO,47,1,16060000,25
TRAC KO,49,1,30220,25
TRAC KO,50,1,486200,25
TRAC KO,51,1,467650,25
TRAC KO,52,1,121250,25
TRAC KO,53,1,21975,25
TRAC KO,54,1,1562000,25
TRAC KO,55,1,1317000,25
4-1BB,72,1,93700,25
4-1BB,73,1,2086,25
4-1BB,74,1,1463,25
4-1BB,75,1,2325000,25
4-1BB,76,1,767.5,25
BAFF-R,77,1,1739.5,25
BAFF-R,78,1,1803.5,25
BAFF-R,79,1,1207.5,25
BAFF-R,80,1,1322.5,25
CD28,19,2,1610.5,-1
CD28,20,2,1538,-1
CD28,21,2,1897,-1
CD28,22,2,2785.5,-1
CD28,23,2,1967,-1
CD28,24,2,1414,-1
4-1BB,31,2,2194.5,-1
4-1BB,32,2,1601.5,-1
4-1BB,33,2,1400.5,-1
4-1BB,34,2,1048.5,-1
4-1BB,35,2,1038.05,-1
4-1BB,36,2,1215,-1
BAFF-R,37,2,1613,-1
BAFF-R,38,2,1659,-1
BAFF-R,39,2,1440,-1
BAFF-R,40,2,847.9,-1
BAFF-R,41,2,4255,-1
BAFF-R,42,2,3267.5,-1
TRAC KO,43,2,1530,-1
TRAC KO,44,2,1666.5,-1
TRAC KO,45,2,1888.5,-1
TRAC KO,46,2,1505.5,-1
TRAC KO,47,2,1355.5,-1
TRAC KO,48,2,1113,-1
TRAC KO,49,2,1813.5,-1
CD28,19,2,1732,3
CD28,20,2,1493,3
CD28,21,2,1982,3
CD28,22,2,40635,3
CD28,23,2,73925,3
CD28,24,2,1107,3
4-1BB,31,2,1203,3
4-1BB,32,2,3548,3
4-1BB,33,2,1085,3
4-1BB,34,2,743,3
4-1BB,35,2,6277,3
4-1BB,36,2,1149,3
BAFF-R,37,2,1141,3
BAFF-R,38,2,2269,3
BAFF-R,39,2,3059,3
BAFF-R,40,2,5503,3
BAFF-R,41,2,992,3
BAFF-R,42,2,2267,3
TRAC KO,43,2,4214,3
TRAC KO,44,2,6995,3
TRAC KO,45,2,1003,3
TRAC KO,46,2,4982,3
TRAC KO,47,2,5411,3
TRAC KO,48,2,1827,3
TRAC KO,49,2,1167.85,3
CD28,19,2,956,6
CD28,20,2,858,6
CD28,21,2,1068,6
CD28,22,2,15906,6
CD28,23,2,72930,6
CD28,24,2,1498,6
4-1BB,31,2,31333,6
4-1BB,32,2,6155,6
4-1BB,33,2,852,6
4-1BB,34,2,1047,6
4-1BB,35,2,1093,6
4-1BB,36,2,763,6
BAFF-R,37,2,750,6
BAFF-R,38,2,705,6
BAFF-R,39,2,1784,6
BAFF-R,40,2,823,6
BAFF-R,41,2,5065,6
BAFF-R,42,2,910,6
TRAC KO,43,2,9728,6
TRAC KO,44,2,22293,6
TRAC KO,45,2,21141,6
TRAC KO,46,2,6850,6
TRAC KO,47,2,12805,6
TRAC KO,48,2,3880,6
TRAC KO,49,2,12392,6
CD28,19,2,841,10
CD28,20,2,901,10
CD28,21,2,1138,10
CD28,22,2,901,10
CD28,23,2,788,10
CD28,24,2,886,10
4-1BB,31,2,1487,10
4-1BB,32,2,1278,10
4-1BB,33,2,1204,10
4-1BB,34,2,1245,10
4-1BB,35,2,1128,10
4-1BB,36,2,1057,10
BAFF-R,37,2,961,10
BAFF-R,38,2,872,10
BAFF-R,39,2,1162,10
BAFF-R,40,2,906,10
BAFF-R,41,2,1241,10
BAFF-R,42,2,1339,10
TRAC KO,43,2,17935,10
TRAC KO,44,2,58440,10
TRAC KO,45,2,55750,10
TRAC KO,46,2,22031,10
TRAC KO,47,2,84495,10
TRAC KO,48,2,15170,10
TRAC KO,49,2,24350,10
CD28,19,2,903,15
CD28,20,2,937,15
CD28,21,2,1031,15
CD28,22,2,888,15
CD28,23,2,829,15
CD28,24,2,873,15
4-1BB,31,2,980,15
4-1BB,32,2,998,15
4-1BB,33,2,1151,15
4-1BB,34,2,792,15
4-1BB,35,2,956,15
4-1BB,36,2,895,15
BAFF-R,37,2,842,15
BAFF-R,38,2,927,15
BAFF-R,39,2,766,15
BAFF-R,40,2,909,15
BAFF-R,41,2,6822,15
BAFF-R,42,2,4768,15
TRAC KO,43,2,80195,15
TRAC KO,44,2,264265,15
TRAC KO,45,2,204750,15
TRAC KO,46,2,54025,15
TRAC KO,47,2,127500,15
TRAC KO,48,2,49000,15
TRAC KO,49,2,201350,15
CD28,19,2,996,21
CD28,20,2,941,21
CD28,21,2,980,21
CD28,22,2,731,21
CD28,23,2,595,21
CD28,24,2,669,21
4-1BB,31,2,2270,21
4-1BB,32,2,5540,21
4-1BB,33,2,942,21
4-1BB,34,2,821,21
4-1BB,35,2,1000,21
4-1BB,36,2,979,21
BAFF-R,37,2,746,21
BAFF-R,38,2,944,21
BAFF-R,39,2,898,21
BAFF-R,40,2,951,21
BAFF-R,41,2,892,21
BAFF-R,42,2,885,21
TRAC KO,43,2,1180000,21
TRAC KO,44,2,2820000,21
TRAC KO,45,2,1730000,21
TRAC KO,46,2,24500,21
TRAC KO,47,2,2980000,21
TRAC KO,48,2,202000,21
TRAC KO,49,2,798000,21
CD28,19,2,853,28
CD28,20,2,882,28
CD28,22,2,1979,28
CD28,23,2,815,28
CD28,24,2,930,28
4-1BB,31,2,27175,28
4-1BB,32,2,63219,28
4-1BB,33,2,1182,28
4-1BB,34,2,1082,28
4-1BB,35,2,1204,28
4-1BB,36,2,1147,28
BAFF-R,37,2,1448,28
BAFF-R,38,2,1180,28
BAFF-R,39,2,1074,28
BAFF-R,40,2,1067,28
BAFF-R,41,2,1329,28
BAFF-R,42,2,2540,28
TRAC KO,43,2,8553500,28
TRAC KO,44,2,17045500,28
TRAC KO,45,2,6433500,28
TRAC KO,47,2,11571000,28
TRAC KO,48,2,899750,28
